epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.932516505,6.682586662,0.674,2.898,1.00E-05
1,6.826874881,6.431772193,1.142,4.478,1.80E-05
2,6.730294142,6.165021908,2.052,7.242,2.60E-05
3,6.644096295,5.92612967,3.096,10.02,3.40E-05
4,6.552302006,5.674840942,4.442,13.606,4.20E-05
5,6.481047545,5.548177313,4.85,14.74,4.97E-05
6,6.403401855,5.365432619,6.744,19.386,4.96E-05
7,6.318968133,5.154391236,8.236,22.094,4.94E-05
8,6.253923347,5.020874429,9.462,24.704,4.92E-05
9,6.189780391,4.82375478,11.008,27.532,4.90E-05
10,6.135841005,4.710442656,12.422,29.502,4.88E-05
11,6.082245852,4.592551871,13.662,32.098,4.85E-05
12,6.0295496,4.554342629,14.338,32.986,4.82E-05
13,5.990996009,4.341310066,16.672,36.668,4.79E-05
14,5.941177368,4.349055027,16.25,36.26,4.76E-05
15,5.907147445,4.218156725,18.404,39.43,4.73E-05
16,5.858863742,4.14777735,19.29,40.608,4.69E-05
17,5.82738684,4.194588742,18.726,39.598,4.65E-05
18,5.797791615,4.02965164,20.5,42.776,4.61E-05
19,5.756053143,3.931920001,21.642,44.192,4.57E-05
20,5.74708465,3.992395446,21.61,44.228,4.52E-05
21,5.697025499,3.964042969,22.346,45.248,4.48E-05
22,5.676018605,3.832209503,23.118,46.642,4.43E-05
23,5.654732753,3.747168853,24.426,48.402,4.38E-05
24,5.622825567,3.821804502,24.132,47.806,4.32E-05
25,5.602380196,3.636881858,25.86,49.994,4.27E-05
26,5.571956402,3.698288436,25.28,49.336,4.21E-05
27,5.548543917,3.630467499,26.552,50.956,4.15E-05
28,5.537875134,3.558146471,27.312,51.932,4.09E-05
29,5.497191951,3.546618426,27.656,52.52,4.03E-05
30,5.47928483,3.493174129,28.312,53.326,3.97E-05
31,5.466533306,3.475500536,29.03,54.198,3.91E-05
32,5.44554802,3.459010497,29.378,54.48,3.84E-05
33,5.419620163,3.430936632,29.952,55.188,3.77E-05
34,5.399996368,3.367319259,30.606,56.112,3.70E-05
35,5.386987669,3.323420651,31.178,56.494,3.63E-05
36,5.361392263,3.317629439,31.984,57.346,3.56E-05
37,5.338708708,3.361161119,30.814,56.232,3.49E-05
38,5.326717867,3.280600729,32.052,57.398,3.42E-05
39,5.309668868,3.284819587,32.054,57.82,3.35E-05
40,5.294819778,3.247186114,32.752,58.26,3.27E-05
41,5.278834483,3.233885639,33.404,58.716,3.20E-05
42,5.249087458,3.196436154,33.786,59.44,3.12E-05
43,5.23639743,3.207747171,33.468,58.954,3.05E-05
44,5.230774998,3.146207365,34.368,60.436,2.97E-05
45,5.196676212,3.177440299,34.434,60.234,2.89E-05
46,5.182874878,3.128257519,34.664,60.55,2.81E-05
47,5.162263734,3.129073753,35.072,60.55,2.74E-05
48,5.151957414,3.104683594,35.288,60.926,2.66E-05
49,5.137959115,3.059384727,35.998,61.808,2.58E-05
50,5.117222623,3.111795727,35.588,61.13,2.50E-05
51,5.105961518,3.086659663,36.064,61.684,2.42E-05
52,5.076107728,3.036152165,36.524,62.434,2.34E-05
