epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.887759981,6.7423522,0.316,1.566,1.00E-05
1,6.833054936,6.57750825,0.752,3.2,1.80E-05
2,6.785103243,6.432283331,1.218,4.658,2.60E-05
3,6.739295714,6.299396545,1.884,6.466,3.40E-05
4,6.682140042,6.105765285,2.41,8.468,4.20E-05
5,6.627304717,5.949578499,3.224,10.77,4.97E-05
6,6.556998386,5.734712326,4.716,13.996,4.96E-05
7,6.49939408,5.599820841,5.858,16.19,4.94E-05
8,6.446098734,5.500699002,6.58,18.164,4.92E-05
9,6.391799365,5.318615198,7.838,20.918,4.90E-05
10,6.34312608,5.206620422,8.998,22.836,4.88E-05
11,6.297012609,5.155960634,9.448,24.342,4.85E-05
12,6.260994482,5.064039812,10.498,25.954,4.82E-05
13,6.222956011,4.944693829,11.818,28.198,4.79E-05
14,6.186413712,4.865592393,12.158,29.006,4.76E-05
15,6.144671248,4.710225189,13.528,31.274,4.73E-05
16,6.110954434,4.796177165,13.642,31.558,4.69E-05
17,6.084012293,4.698033021,14.678,32.914,4.65E-05
18,6.044600761,4.559272899,15.806,34.844,4.61E-05
19,6.009997012,4.584480614,16.072,34.774,4.57E-05
20,5.97881976,4.441049587,17.278,36.942,4.52E-05
21,5.958548766,4.376980115,18.234,38.404,4.48E-05
22,5.928934668,4.508387656,16.88,36.67,4.43E-05
23,5.905133018,4.397216237,18.674,38.95,4.38E-05
24,5.885683689,4.337527549,19.022,39.728,4.32E-05
25,5.865190609,4.266568809,20.09,41.044,4.27E-05
26,5.832237655,4.208781241,20.412,41.898,4.21E-05
27,5.81427722,4.196211506,21.162,42.564,4.15E-05
28,5.787485785,4.122580012,21.912,43.656,4.09E-05
29,5.773758941,4.107817612,22.172,44.014,4.03E-05
30,5.74736191,4.080095706,22.622,44.718,3.97E-05
31,5.727055424,4.017100718,23.288,45.202,3.91E-05
32,5.711551479,4.038895416,23.652,45.738,3.84E-05
33,5.692224475,3.97232536,24.176,46.452,3.77E-05
34,5.662043118,3.963270007,24.266,46.58,3.70E-05
35,5.638621427,3.983666324,24.428,46.494,3.63E-05
36,5.628254094,4.007340694,24.054,46.544,3.56E-05
37,5.605855638,3.920694919,24.956,47.658,3.49E-05
38,5.595498399,3.871301866,26.16,48.754,3.42E-05
39,5.576679502,3.834696713,26.314,49.02,3.35E-05
40,5.565810805,3.86320446,26.282,49.068,3.27E-05
41,5.538454185,3.860946408,26.494,49.34,3.20E-05
42,5.525982475,3.812123126,27.092,50.066,3.12E-05
43,5.499642169,3.754797327,27.754,50.868,3.05E-05
44,5.486982869,3.767148883,27.344,50.644,2.97E-05
45,5.47664453,3.752367783,28.086,51.236,2.89E-05
46,5.451469885,3.77300108,28.166,51.18,2.81E-05
47,5.446780523,3.698181872,28.702,51.898,2.74E-05
48,5.426732529,3.676447188,29.134,52.45,2.66E-05
49,5.419420347,3.631158513,29.562,53.04,2.58E-05
50,5.397137297,3.638113968,29.486,53.03,2.50E-05
51,5.391040879,3.73652768,28.876,52.18,2.42E-05
52,5.375850974,3.62556906,30.08,53.544,2.34E-05
53,5.365679367,3.615414845,29.722,53.258,2.26E-05
54,5.337209376,3.626249604,30.306,53.722,2.19E-05
55,5.348355494,3.617960871,30.282,53.914,2.11E-05
56,5.344652788,3.563783786,30.706,54.224,2.03E-05
57,5.328727211,3.532243891,31.178,54.758,1.95E-05
58,5.310171594,3.623537215,30.398,53.77,1.88E-05
59,5.282873925,3.564803965,30.96,54.84,1.80E-05
60,5.293221286,3.612208973,30.934,54.56,1.73E-05
61,5.277210353,3.58402543,31.27,54.7,1.65E-05
62,5.277120553,3.578952555,31.362,55.052,1.58E-05
63,5.248675854,3.57158322,31.328,55.376,1.51E-05
64,5.253413963,3.45385571,32.082,55.976,1.44E-05
65,5.250673287,3.540641701,31.706,55.688,1.37E-05
66,5.233669432,3.468713403,32.308,56.046,1.30E-05
67,5.214071415,3.536034117,32.002,55.814,1.23E-05
68,5.200184854,3.514753412,32.272,55.892,1.16E-05
69,5.219052747,3.530672189,32.182,55.922,1.09E-05
70,5.201753329,3.515231479,32.436,56.102,1.03E-05
71,5.200050061,3.474205914,32.686,56.3,9.68E-06
72,5.176942614,3.40052397,33.25,57.056,9.06E-06
73,5.167405126,3.494444671,32.578,56.364,8.47E-06
74,5.169292832,3.479641557,32.692,56.502,7.89E-06
75,5.150357253,3.443199967,32.946,56.822,7.32E-06
76,5.142154934,3.472926804,32.93,56.728,6.78E-06
77,5.129684921,3.436087907,32.876,56.742,6.25E-06
78,5.135147252,3.41538857,33.482,57.31,5.74E-06
79,5.123582358,3.560620569,32.164,55.826,5.25E-06
80,5.112556534,3.527650125,32.548,56.248,4.77E-06
81,5.123421142,3.541506594,32.628,56.114,4.32E-06
82,5.11965818,3.46183625,33.136,56.926,3.89E-06
83,5.10138191,3.431237292,33.356,57.11,3.48E-06
84,5.10165884,3.4767679,33.13,56.924,3.09E-06
85,5.095887162,3.472754689,33.048,56.822,2.72E-06
86,5.095044009,3.470528587,33.142,56.798,2.38E-06
87,5.082868118,3.476725186,33.258,56.764,2.06E-06
88,5.081101966,3.435246967,33.5,57.212,1.76E-06
89,5.081415978,3.485632045,32.916,56.678,1.48E-06
90,5.0725374,3.421487432,33.502,57.252,1.22E-06
91,5.058249624,3.468115552,33.216,56.968,9.93E-07
92,5.051867397,3.500000788,33.064,56.618,7.85E-07
93,5.056174271,3.516548215,32.786,56.584,6.02E-07
94,5.050212363,3.494556827,33.076,56.708,4.43E-07
95,5.052578432,3.423281212,33.632,57.348,3.08E-07
96,5.049066126,3.465187052,33.302,56.95,1.97E-07
97,5.048130406,3.447958619,33.396,57.144,1.11E-07
98,5.032659603,3.519789733,32.978,56.604,4.93E-08
99,5.033071537,3.4832004,33.128,56.72,1.23E-08
