epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.894346412,6.791770842,0.268,1.244,1.00E-05
1,6.851337485,6.636772577,0.55,2.278,1.80E-05
2,6.79665011,6.44095383,0.99,4.228,2.60E-05
3,6.741797758,6.312734592,1.582,5.792,3.40E-05
4,6.686336977,6.122209869,2.276,8.2,4.20E-05
5,6.635531631,5.993073451,2.958,10.064,4.97E-05
6,6.573623515,5.798594584,3.952,12.126,4.96E-05
7,6.517012091,5.639549402,4.982,14.934,4.94E-05
8,6.469125595,5.528099057,6.082,17.336,4.92E-05
9,6.412505857,5.418184176,6.812,18.986,4.90E-05
10,6.363395836,5.319790124,7.964,21.222,4.88E-05
11,6.323739389,5.187911926,9.01,23.016,4.85E-05
12,6.280667627,5.12238084,9.952,24.712,4.82E-05
13,6.236723399,4.993857179,10.714,26.65,4.79E-05
14,6.198465628,4.954669095,11.782,28.062,4.76E-05
15,6.16850638,4.907702113,12.086,28.716,4.73E-05
16,6.126601234,4.769407288,13.112,30.73,4.69E-05
17,6.098318776,4.661355515,14.604,33.002,4.65E-05
18,6.052977934,4.576075722,15.344,34.028,4.61E-05
19,6.031000549,4.591205887,15.818,34.712,4.57E-05
20,6.004829328,4.487196707,16.618,35.988,4.52E-05
21,5.973160825,4.478066537,17.192,37.002,4.48E-05
22,5.946311966,4.458140209,17.57,37.438,4.43E-05
23,5.924013821,4.334032032,18.892,39.64,4.38E-05
24,5.885445501,4.276608444,19.258,40.086,4.32E-05
25,5.864714829,4.198841422,20.062,41.458,4.27E-05
26,5.841667507,4.166749494,20.892,42.508,4.21E-05
27,5.821383218,4.184819837,20.954,42.454,4.15E-05
28,5.804689378,4.184955324,21.158,42.684,4.09E-05
29,5.782030645,4.112444382,22.462,44.33,4.03E-05
30,5.761530559,4.106731681,22.614,44.568,3.97E-05
31,5.732648509,4.04005089,23.204,45.1,3.91E-05
32,5.71578122,4.030951979,23.596,45.894,3.84E-05
33,5.68857807,4.052980652,23.678,45.992,3.77E-05
34,5.676414261,4.036524152,23.498,45.986,3.70E-05
35,5.651104486,3.980468702,24.7,46.976,3.63E-05
36,5.64003976,3.897496237,25.322,48.142,3.56E-05
37,5.607110307,3.922135445,25.408,48.368,3.49E-05
38,5.606066033,3.904908479,25.512,48.466,3.42E-05
39,5.580684797,3.812621367,26.316,49.35,3.35E-05
40,5.561629375,3.779892344,27.066,50.29,3.27E-05
41,5.538333972,3.810297045,26.654,50.124,3.20E-05
42,5.527342205,3.690147932,27.744,51.396,3.12E-05
43,5.514148945,3.665822806,28.122,51.772,3.05E-05
44,5.49977166,3.717386716,27.876,51.406,2.97E-05
45,5.486685262,3.743718156,28.274,51.806,2.89E-05
46,5.462288593,3.607364951,29.23,52.934,2.81E-05
47,5.449173899,3.665677085,29.268,52.696,2.74E-05
48,5.44278209,3.640681776,29.17,52.858,2.66E-05
49,5.435748882,3.601922466,29.826,53.546,2.58E-05
50,5.420409483,3.584421361,30.104,53.628,2.50E-05
51,5.402028068,3.603741236,30.048,53.794,2.42E-05
52,5.396811498,3.645313904,29.772,53.678,2.34E-05
53,5.367700278,3.548588208,31.012,54.83,2.26E-05
54,5.362491417,3.620516833,30.372,53.912,2.19E-05
55,5.335728729,3.541744745,30.992,55.176,2.11E-05
56,5.346313099,3.603489762,30.92,54.652,2.03E-05
57,5.339639043,3.558092304,31.292,55.178,1.95E-05
58,5.316578957,3.492222243,31.664,55.556,1.88E-05
59,5.316418148,3.577160639,31.052,54.538,1.80E-05
60,5.293695509,3.52980086,31.594,55.452,1.73E-05
61,5.288830363,3.565544774,31.356,55.262,1.65E-05
62,5.279751405,3.479602783,32.31,56.144,1.58E-05
63,5.270215595,3.512404336,32.202,55.97,1.51E-05
64,5.249684103,3.48547811,32.502,56.388,1.44E-05
65,5.232645417,3.519900751,32.376,56.096,1.37E-05
66,5.236421387,3.528343232,32.128,55.986,1.30E-05
67,5.216569153,3.43870853,32.854,56.676,1.23E-05
68,5.213557844,3.447602495,33.032,57.04,1.16E-05
69,5.179974326,3.405362268,33.184,57.132,1.09E-05
70,5.184936972,3.488428037,32.912,56.83,1.03E-05
71,5.18131926,3.397581797,33.568,57.442,9.68E-06
72,5.168022518,3.504054291,33.202,56.89,9.06E-06
73,5.164805525,3.478167106,33.294,56.98,8.47E-06
74,5.159470272,3.428020057,33.762,57.544,7.89E-06
75,5.13772816,3.431006015,33.466,57.276,7.32E-06
76,5.133536232,3.383241208,34.078,57.898,6.78E-06
77,5.126244615,3.366271369,34.112,57.972,6.25E-06
78,5.129723932,3.422115291,33.862,57.542,5.74E-06
79,5.125255269,3.471396939,33.336,57.11,5.25E-06
80,5.116629284,3.432152638,33.742,57.508,4.77E-06
81,5.113757234,3.491652138,33.57,57.16,4.32E-06
82,5.100089372,3.417495469,33.978,57.916,3.89E-06
83,5.092718625,3.467447825,33.578,57.276,3.48E-06
84,5.073052956,3.529606526,33.346,56.878,3.09E-06
85,5.082989913,3.456900465,33.812,57.484,2.72E-06
86,5.069413394,3.449056838,33.794,57.314,2.38E-06
87,5.073532346,3.363601373,34.382,58.18,2.06E-06
88,5.04877995,3.438772477,33.978,57.82,1.76E-06
89,5.065483348,3.442879648,33.936,57.64,1.48E-06
90,5.050331179,3.373961979,34.304,58.06,1.22E-06
91,5.044726492,3.400430165,34.214,57.954,9.93E-07
92,5.032706791,3.431560608,33.932,57.61,7.85E-07
93,5.031697062,3.3191799,34.7,58.64,6.02E-07
94,5.035072022,3.335189991,34.592,58.402,4.43E-07
95,5.030157022,3.425472328,33.916,57.672,3.08E-07
96,5.034531314,3.47558959,33.726,57.306,1.97E-07
97,5.022937971,3.337900977,34.584,58.478,1.11E-07
98,5.017750262,3.382519294,34.332,58.114,4.93E-08
99,5.026567343,3.394940061,34.158,57.866,1.23E-08
