epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.37483918,5.171653578,1.96,7.21,1.00E-05
1,5.327047368,5.133413159,1.92,7.4,1.80E-05
2,5.299192381,5.069864518,2.5,8.61,2.60E-05
3,5.289800621,5.052549165,2.61,10.33,3.40E-05
4,5.273032378,5.062368473,2.42,9.9,4.20E-05
5,5.262099899,5.003092313,2.77,10.24,5.00E-05
6,5.244892854,5.008067881,2.85,11.44,5.00E-05
7,5.220360034,4.895922102,3.32,13.06,4.99E-05
8,5.197976546,4.939093887,3.87,12.42,4.99E-05
9,5.176326848,4.806422173,4.37,15.83,4.99E-05
10,5.159268759,4.749707717,5.08,17.27,4.99E-05
11,5.140086958,4.710595809,5.24,17.69,4.98E-05
12,5.117640363,4.659209323,5.65,18.95,4.98E-05
13,5.093517319,4.62912327,6.67,21.13,4.98E-05
14,5.081411146,4.637842052,5.87,18.94,4.97E-05
15,5.069792007,4.607708953,6.84,20.13,4.97E-05
16,5.042904121,4.506455253,8.21,24.32,4.96E-05
17,5.032057662,4.443206496,8.75,25.24,4.96E-05
18,5.023078146,4.416065546,9.68,26.52,4.96E-05
19,5.008493239,4.360954486,10.2,28.27,4.95E-05
20,4.978353374,4.394555581,9.31,25.62,4.95E-05
21,4.969965845,4.32862406,10.2,28.22,4.94E-05
22,4.962596465,4.287291063,10.57,29.01,4.93E-05
23,4.957366092,4.313608988,9.91,27.54,4.93E-05
24,4.952344754,4.223788321,11.1,30.45,4.92E-05
25,4.946452306,4.261440237,11.5,30.47,4.91E-05
26,4.914101973,4.206312753,11.84,30.65,4.91E-05
27,4.918912737,4.193326,12.08,30.77,4.90E-05
28,4.9170119,4.178144298,12.37,31.87,4.89E-05
29,4.883269262,4.150600202,12.55,32.13,4.89E-05
30,4.890817561,4.111454527,12.97,33.26,4.88E-05
31,4.87005094,4.116886163,12.92,33.22,4.87E-05
32,4.860260732,4.13863682,12.71,32.87,4.86E-05
33,4.855263863,4.073551024,13.94,35,4.85E-05
34,4.847049605,4.056558419,14.08,34.93,4.84E-05
35,4.84269772,4.04032164,14.06,34.65,4.83E-05
36,4.800037596,3.952920434,15.53,37.15,4.82E-05
37,4.825190681,3.995369692,14.74,36.34,4.81E-05
38,4.818217603,4.037428744,13.87,34.91,4.80E-05
39,4.794073768,3.96540918,14.94,37.09,4.79E-05
40,4.786616993,3.8980492,15.84,38.15,4.78E-05
41,4.792667061,3.911368746,15.36,38.39,4.77E-05
42,4.763860718,3.93516454,15.55,37.51,4.76E-05
43,4.759503605,3.930677941,15.13,36.82,4.75E-05
44,4.772165623,3.896951904,16.18,38.87,4.74E-05
45,4.744403353,3.820287763,17.2,39.83,4.73E-05
46,4.745336332,3.89199902,16.17,38.92,4.72E-05
47,4.751444109,3.787449483,17.98,41.09,4.70E-05
48,4.73040657,3.8624849,17.31,40,4.69E-05
49,4.715491041,3.879427053,17.11,39.14,4.68E-05
50,4.698204826,3.767760835,17.73,41.42,4.67E-05
51,4.718721836,3.745948842,18.39,41.46,4.65E-05
52,4.707426482,3.806791946,18.07,40.59,4.64E-05
53,4.686917865,3.743015947,18.12,41.57,4.62E-05
54,4.683896552,3.802689494,18.3,41.34,4.61E-05
55,4.681483991,3.78628295,17.85,41.22,4.60E-05
56,4.676801758,3.715252186,19.13,42.36,4.58E-05
57,4.651354177,3.681721737,19.96,43.58,4.57E-05
58,4.633210839,3.70065959,19.81,43.3,4.55E-05
59,4.639465034,3.694547123,19.69,43.11,4.54E-05
60,4.648782846,3.703290571,19.4,43,4.52E-05
61,4.658366553,3.687291495,19.99,44.02,4.51E-05
62,4.64975466,3.647122619,19.94,43.85,4.49E-05
63,4.630320192,3.60762794,21,45.36,4.48E-05
64,4.636626294,3.611798944,21,45.12,4.46E-05
65,4.601641562,3.598253399,20.96,45.15,4.44E-05
66,4.582136486,3.649427312,20.17,44.11,4.43E-05
67,4.597260073,3.586286763,20.92,45.43,4.41E-05
68,4.561965371,3.664017851,19.98,44.51,4.39E-05
69,4.559826141,3.604214992,20.91,45.54,4.38E-05
70,4.573193946,3.640885704,20.09,44.71,4.36E-05
71,4.569040924,3.600883912,20.77,45.37,4.34E-05
72,4.543754816,3.556633981,21.41,45.66,4.32E-05
73,4.540409874,3.585716219,21.52,45.94,4.30E-05
74,4.562839154,3.596050482,21.65,45.67,4.29E-05
75,4.534206965,3.557228327,22.03,46.47,4.27E-05
76,4.538537046,3.523858174,22.47,47.36,4.25E-05
77,4.514069238,3.564751716,22.02,46.43,4.23E-05
78,4.500372906,3.522607172,22.12,47.29,4.21E-05
79,4.523787564,3.550902285,21.6,46.9,4.19E-05
80,4.488474457,3.517442526,22.33,47.25,4.17E-05
81,4.480730597,3.519151673,22.5,47.37,4.15E-05
82,4.491107377,3.540010318,21.89,46.58,4.13E-05
83,4.497759985,3.594503315,21.22,45.18,4.11E-05
84,4.489878885,3.474471789,23.41,47.74,4.09E-05
85,4.490597343,3.531890917,22.84,47.67,4.07E-05
86,4.501841786,3.557971964,21.86,46.35,4.05E-05
87,4.464126688,3.490529282,23.44,47.59,4.03E-05
88,4.463924501,3.494353768,23.55,48.17,4.01E-05
89,4.422958855,3.492454402,22.85,48.36,3.99E-05
90,4.45358692,3.472050207,23.49,48.59,3.97E-05
91,4.41711118,3.475012825,23.57,48.69,3.95E-05
92,4.42789465,3.47217199,23.78,48.61,3.93E-05
93,4.451783174,3.493747735,23.41,48.08,3.91E-05
94,4.431113403,3.487037251,23.33,48.22,3.88E-05
95,4.414515396,3.438110124,24.48,48.81,3.86E-05
96,4.408173518,3.498112586,23.16,47.71,3.84E-05
97,4.389888854,3.459135177,24.26,49.28,3.82E-05
98,4.40189763,3.448208062,24.24,49.21,3.80E-05
99,4.390171344,3.442874104,24.35,49.58,3.77E-05
100,4.401666515,3.40783266,25.37,49.87,3.75E-05
101,4.340093872,3.417114647,25.08,49.69,3.73E-05
102,4.376565294,3.404785503,24.91,49.55,3.70E-05
103,4.379915221,3.4421941,24.18,49.57,3.68E-05
104,4.313592652,3.459151235,23.81,48.68,3.66E-05
105,4.343312132,3.475249056,23.86,48.41,3.63E-05
106,4.320037209,3.435018604,24.17,49.19,3.61E-05
107,4.335405796,3.385577799,25.11,50.42,3.59E-05
108,4.381212759,3.430144904,24.35,49.19,3.56E-05
109,4.289668744,3.453057634,24.23,49.48,3.54E-05
110,4.295794716,3.428387568,24.61,49.56,3.52E-05
111,4.298101851,3.414151784,24.85,49.88,3.49E-05
112,4.276671964,3.393675517,25.22,50.17,3.47E-05
113,4.301531987,3.386665949,25.36,50.28,3.44E-05
114,4.297526007,3.389339013,25.53,50.6,3.42E-05
115,4.290338002,3.406724551,24.88,49.94,3.40E-05
116,4.250933253,3.396607674,25.7,50.21,3.37E-05
117,4.314019617,3.393445191,25,50.74,3.35E-05
118,4.257065837,3.41466306,25.38,50,3.32E-05
119,4.261912926,3.366519737,25.56,50.6,3.30E-05
120,4.256505793,3.388480736,25.91,50.02,3.27E-05
121,4.266971355,3.389990805,26.07,50.31,3.25E-05
122,4.287013374,3.364550653,25.95,50.57,3.22E-05
123,4.249495691,3.365826967,26.06,50.76,3.20E-05
124,4.237052567,3.353843648,26.34,51.32,3.17E-05
125,4.211946638,3.323253751,26.41,51.69,3.15E-05
126,4.209886245,3.376063016,26.05,50.76,3.12E-05
127,4.222187775,3.358807953,26.24,50.95,3.10E-05
128,4.217239862,3.31988741,26.55,51.84,3.07E-05
129,4.21995009,3.34686551,26.42,50.95,3.05E-05
130,4.203576205,3.329408873,27.11,51.61,3.02E-05
131,4.192729766,3.353127578,26.68,51.41,2.99E-05
132,4.19335518,3.327447378,26.72,52.38,2.97E-05
133,4.168608571,3.353393775,26.07,51.48,2.94E-05
134,4.208000485,3.400492585,25.75,50.45,2.92E-05
135,4.165355033,3.339850854,26.48,51.38,2.89E-05
136,4.164875109,3.341052557,26.82,51.47,2.87E-05
137,4.201092915,3.349511444,26.67,51.1,2.84E-05
138,4.173947315,3.314001991,27.18,51.64,2.81E-05
139,4.157477344,3.36489242,25.95,51.02,2.79E-05
140,4.163785063,3.333148998,26.94,51.86,2.76E-05
141,4.147730981,3.31215878,26.94,52.35,2.74E-05
142,4.155202054,3.334184982,26.88,51.36,2.71E-05
143,4.120429877,3.327531227,26.98,51.5,2.68E-05
144,4.093898182,3.301489845,27.02,52.28,2.66E-05
145,4.132163286,3.348701552,26.4,51.29,2.63E-05
146,4.151443663,3.33276045,26.72,51.73,2.60E-05
147,4.086581063,3.340226853,27.02,51.55,2.58E-05
148,4.117752859,3.272895012,27.2,52.68,2.55E-05
149,4.105175745,3.295542421,27.24,52.49,2.53E-05
150,4.116668142,3.316600346,27.5,52.09,2.50E-05
151,4.043107202,3.29928599,27.81,52.45,2.47E-05
152,4.093470198,3.311193437,27.48,52.24,2.45E-05
153,4.070861343,3.308802073,27.39,52.38,2.42E-05
154,4.067432856,3.297604533,27.91,52.36,2.40E-05
155,4.083610014,3.286304331,27.23,52.9,2.37E-05
156,4.072156491,3.275307082,27.82,53.04,2.34E-05
157,4.030936211,3.335383432,27.17,52,2.32E-05
