epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.297804550170898,5.289066736602783,0.58,3.34,1e-05
1,5.294388506317139,5.265678158569336,0.91,4.44,1.8000000000000004e-05
2,5.286304405975342,5.2427790809631345,0.88,4.3,2.6000000000000002e-05
3,5.278303694915771,5.195298400115967,1.09,5.66,3.4000000000000007e-05
4,5.259486431884766,5.112363173294067,1.57,7.87,4.2000000000000004e-05
5,5.250806878662109,5.134197100830078,1.67,8.35,4.996573836886435e-05
6,5.235602847290039,5.082159450912475,2.33,9.15,4.995066821070679e-05
7,5.225958404541015,5.037499669265747,2.19,9.89,4.9932861930611454e-05
8,5.221074522399903,5.005271728134155,2.93,11.43,4.991232148123761e-05
9,5.205225594329834,4.988369371414184,2.51,10.75,4.9889049115077005e-05
10,5.198918893432618,4.948843405914307,3.03,12.2,4.9863047384206835e-05
11,5.184099085235595,4.923631227493286,3.28,12.4,4.983431914000991e-05
12,5.178433128356934,4.9186301483154296,3.54,12.67,4.980286753286195e-05
13,5.1703341163635255,4.852782504272461,4.16,14.67,4.976869601178609e-05
14,5.141636820220947,4.789583311843872,5.07,16.43,4.9731808324074717e-05
15,5.143473215484619,4.7955621772766115,4.58,16.91,4.9692208514878444e-05
16,5.139087056732178,4.752997851943969,5.04,17.51,4.964990092676263e-05
17,5.12059355545044,4.713058284378052,5.76,18.67,4.960489019923105e-05
18,5.108306003570557,4.690309767150879,5.72,19.1,4.9557181268217227e-05
19,5.102590524291992,4.667604395675659,6.04,20.19,4.9506779365543046e-05
20,5.09181070022583,4.619538198852539,6.92,21.56,4.9453690018345144e-05
21,5.091088687896728,4.611341841125488,7.14,21.45,4.939791904846869e-05
22,5.0756634284973146,4.618954605102539,6.56,21.53,4.933947257182901e-05
23,5.071730756378174,4.564632592773438,7.21,22.49,4.9278356997740904e-05
24,5.070199971008301,4.552277869033813,7.52,23.32,4.9214579028215776e-05
25,5.066692082977295,4.537569565200806,8.4,24.07,4.914814565722671e-05
26,5.048446872711182,4.4776462440490725,8.51,24.91,4.907906416994146e-05
27,5.0348013999938965,4.4599534553527835,9.01,24.95,4.900734214192358e-05
28,5.034972348022461,4.498632289505005,8.59,25.49,4.893298743830168e-05
29,5.030039246368408,4.419208363342285,9.72,26.67,4.8856008212906925e-05
30,5.013807698059082,4.455367106628418,8.63,26.06,4.877641290737884e-05
31,4.996560977172852,4.396870153427124,9.75,28.36,4.869421025023965e-05
32,4.999523279571533,4.371455731964112,9.76,27.71,4.860940925593703e-05
33,5.005629883575439,4.352402436447144,9.34,27.53,4.852201922385564e-05
34,4.979300584411621,4.341066763687134,9.58,28.18,4.843204973729729e-05
35,5.005556312561035,4.338355138778686,10.53,28.53,4.8339510662430046e-05
36,4.9717922653198245,4.31609358253479,10.67,29.79,4.8244412147206284e-05
37,4.962945498657227,4.306373999023437,11.12,30.17,4.814676462024988e-05
38,4.961683100891113,4.26707633934021,11.35,30.21,4.8046578789712515e-05
39,4.955128828430176,4.262891579818725,11.53,29.59,4.794386564209953e-05
40,4.944915225219726,4.2755332914352415,11.05,30.01,4.783863644106502e-05
41,4.935020185089111,4.215551551818848,11.94,32.08,4.773090272617672e-05
42,4.945300899505615,4.193115983581543,11.8,32.42,4.762067631165049e-05
43,4.937757220458985,4.135812358665467,12.65,33.46,4.7507969285054845e-05
44,4.942494446563721,4.244339866256714,11.84,31.16,4.7392794005985326e-05
45,4.918320464324951,4.189762861442566,12.32,32.78,4.72751631047092e-05
46,4.926315393829346,4.142359590530395,13.72,34.58,4.715508948078037e-05
47,4.9145899269104,4.193100235366821,12.48,32.23,4.70325863016248e-05
48,4.90245220413208,4.139789852142334,13.07,33.22,4.690766700109659e-05
49,4.897191781616211,4.093014262008667,13.97,34.25,4.678034527800474e-05
50,4.8923688423156735,4.093309456634522,14.29,34.51,4.6650635094610964e-05
51,4.888119117355346,4.1034797786712645,13.46,34.44,4.65185506750986e-05
52,4.8858118389129634,4.02831470413208,14.39,36.13,4.638410650401267e-05
53,4.872514678955078,4.067083053779602,13.52,34.66,4.6247317324671605e-05
54,4.8801757438659665,4.055048171806336,14.65,36.2,4.610819813755038e-05
55,4.8596720748901365,4.089133852386475,13.88,35.19,4.5966764198635606e-05
56,4.838796276473999,4.009769494056702,14.85,36.78,4.5823031017752485e-05
57,4.8384034496307375,4.054494939041137,13.98,35.37,4.567701435686404e-05
58,4.846594654083252,4.01605841293335,14.71,35.95,4.5528730228342605e-05
59,4.838315883636475,4.013701314926148,15.23,37.06,4.537819489321386e-05
60,4.831471085357666,3.9913958597183226,14.59,37.08,4.522542485937369e-05
61,4.814477524566651,3.9798153312683104,15.26,37.76,4.5070436879777865e-05
62,4.827646797180176,3.9919104211807253,15.27,37.47,4.491324795060491e-05
63,4.8153005203247075,3.8997619783401487,16.19,39.05,4.475387530939226e-05
64,4.8343256618499755,3.9485776580810548,15.31,37.97,4.4592336433146e-05
65,4.816318429946899,4.032566072273254,14.78,36.49,4.442864903642428e-05
66,4.794088244247437,3.9259604167938233,16.56,39.25,4.426283106939474e-05
67,4.787805885696411,3.8967015449523927,16.92,39.44,4.4094900715866064e-05
68,4.766390663909912,3.9050016801834104,16.15,38.98,4.3924876391293915e-05
69,4.7743411548614505,3.9116095693588258,15.93,39.01,4.375277674076149e-05
70,4.79474122467041,3.9419042123794554,16.77,39.0,4.3578620636934866e-05
71,4.788686738967895,3.8638894773483274,16.97,40.14,4.340242717799336e-05
72,4.761547470474243,3.9242924264907835,17.02,39.56,4.3224215685535294e-05
73,4.765700048065185,3.845296681404114,17.15,40.8,4.304400570245906e-05
74,4.741032518768311,3.850096624660492,17.25,40.21,4.2861816990820084e-05
75,4.747528557968139,3.857299758720398,17.49,40.56,4.267766952966369e-05
76,4.750487057876587,3.8464407453536986,18.07,41.63,4.2491583512834145e-05
77,4.7446834823608395,3.781336064338684,18.46,41.47,4.230357934676017e-05
78,4.726393738937378,3.757442600631714,18.57,42.54,4.211367764821722e-05
79,4.7422710723876955,3.8015045967102052,17.58,41.53,4.192189924206652e-05
80,4.725368330383301,3.8104189346313477,18.16,42.28,4.172826515897146e-05
81,4.7139230163574215,3.7926055173873903,18.62,42.07,4.1532796633091296e-05
82,4.713312517929078,3.7691197385787962,18.99,42.47,4.133551509975264e-05
83,4.713120517349243,3.746148607444763,18.61,43.05,4.113644219309877e-05
84,4.712535304641723,3.838560319328308,17.88,41.37,4.093559974371725e-05
85,4.701369887924194,3.7995355712890624,18.29,41.93,4.073300977624594e-05
86,4.687470779037476,3.7824381132125855,18.45,42.2,4.0528694506957764e-05
87,4.691092615890503,3.7505887786865233,18.67,43.22,4.0322676341324415e-05
88,4.674506116867065,3.727619229888916,19.26,42.96,4.011497787155938e-05
89,4.695868165206909,3.762243558597565,19.11,42.81,3.99056218741404e-05
90,4.685291278457641,3.7025530498504637,19.84,44.83,3.969463130731183e-05
91,4.651714539337158,3.7395801961898805,19.44,43.46,3.948202930856697e-05
92,4.665002875518799,3.6822835880279543,20.22,44.39,3.92678391921108e-05
93,4.6487771472930906,3.6628172637939453,20.56,45.04,3.9052084446303274e-05
94,4.658051191329956,3.656551789188385,20.61,45.07,3.883478873108361e-05
95,4.661399228668213,3.700685447692871,19.91,44.26,3.8615975875375675e-05
96,4.61941926612854,3.640775248146057,20.92,45.21,3.8395669874474915e-05
97,4.633482872009277,3.7031695514678957,19.75,43.92,3.8173894887416945e-05
98,4.648713003158569,3.6690744371414183,20.17,44.9,3.795067523432826e-05
99,4.624202508926391,3.6345601568222046,21.08,46.09,3.7726035393759285e-05
100,4.628180019760132,3.650690034675598,20.87,45.69,3.7500000000000003e-05
101,4.638156730651856,3.6787269666671754,20.6,44.96,3.727259384037852e-05
102,4.622422566223144,3.6341931911468506,21.2,45.51,3.704384185254288e-05
103,4.582643053436279,3.627257423400879,20.82,45.48,3.681376912172636e-05
104,4.616520143890381,3.614194627571106,21.42,46.53,3.6582400877996546e-05
105,4.610648709487915,3.6161946857452394,21.74,46.48,3.634976249348867e-05
106,4.595858746719361,3.596755807685852,21.66,46.3,3.611587947962319e-05
107,4.571826674652099,3.591122710800171,21.78,46.65,3.588077748430819e-05
108,4.5891192993164065,3.6529343757629396,21.32,45.3,3.564448228912682e-05
109,4.604538610076904,3.602034963989258,21.93,46.23,3.540701980651003e-05
110,4.5931510215759275,3.558923560523987,22.61,47.06,3.5168416076895004e-05
111,4.57209983253479,3.6063305652618407,21.34,46.01,3.4928697265869515e-05
112,4.593992806625367,3.6126097690582277,21.59,45.99,3.4687889661302576e-05
113,4.566835750198364,3.627466907310486,21.55,46.04,3.444601967046168e-05
114,4.5601711769104005,3.554136680984497,22.69,47.61,3.4203113817116957e-05
115,4.5709765434265135,3.5619939913749694,22.35,46.82,3.39591987386325e-05
116,4.553463078308106,3.576084147262573,22.14,46.54,3.3714301183045385e-05
117,4.5423006923675535,3.5928723663330078,22.05,46.33,3.346844800613229e-05
118,4.544151368331909,3.541227056789398,22.44,47.27,3.322166616846458e-05
119,4.518197636795044,3.584896506881714,22.42,47.21,3.2973982732451755e-05
120,4.534280912017822,3.549279027748108,22.63,47.68,3.272542485937369e-05
121,4.568309475326538,3.563079200363159,22.48,47.21,3.247601980640217e-05
122,4.537112048721314,3.533305122756958,23.14,48.05,3.222579492361179e-05
123,4.499858161926269,3.5627584706306457,22.76,47.19,3.1974777650980735e-05
124,4.519645402145386,3.5783193031311034,22.37,46.74,3.172299551538164e-05
125,4.547344316864014,3.548535075378418,22.68,47.5,3.1470476127563024e-05
126,4.5015489170074465,3.575455357170105,22.7,47.55,3.1217247179121365e-05
127,4.509502892684936,3.5059109053611754,23.68,48.55,3.0963336439464526e-05
128,4.504047579956055,3.556236361503601,23.02,47.15,3.0708771752766394e-05
129,4.531323692703247,3.5515503511428834,23.04,47.37,3.045358103491357e-05
130,4.483173049926758,3.5129680764198303,23.15,48.22,3.0197792270443985e-05
131,4.501181896209717,3.496618786430359,24.25,48.33,2.9941433509478152e-05
132,4.523505480194092,3.5070552083969115,24.09,48.46,2.9684532864643122e-05
133,4.474165664672851,3.5290247747421266,23.51,47.87,2.9427118507989586e-05
134,4.4905328353881835,3.5083801671981814,23.63,48.59,2.916921866790256e-05
135,4.478430212783813,3.571358207321167,22.57,47.34,2.8910861626005776e-05
136,4.4504525653839115,3.5384634637832644,23.45,47.92,2.8652075714060295e-05
137,4.487958846664429,3.4974053371429443,23.8,48.64,2.8392889310857612e-05
138,4.451598141860962,3.5068544220924376,23.27,48.44,2.8133330839107608e-05
139,4.455620571517945,3.534551074409485,23.02,47.99,2.787342876232167e-05
140,4.461365790176392,3.4830126232147216,23.68,48.92,2.7613211581691344e-05
141,4.449144059371949,3.4705736862182617,24.12,49.02,2.7352707832962865e-05
142,4.4751455604553225,3.4650818960189818,24.18,49.28,2.709194608330789e-05
143,4.453197496414185,3.4666196060180665,24.62,49.42,2.6830954928190794e-05
144,4.462802955245972,3.4950920652389526,24.11,48.89,2.656976298823284e-05
145,4.445764750289917,3.447894974040985,24.97,49.52,2.63083989060736e-05
146,4.45955969619751,3.445731198120117,24.9,49.93,2.6046891343229997e-05
147,4.4319284057617185,3.5101645305633546,24.08,48.37,2.5785268976953203e-05
148,4.446486212539673,3.4426694067001344,24.85,49.59,2.5523560497083926e-05
149,4.4499501121520995,3.4546962915420534,24.43,49.52,2.5261794602906145e-05
150,4.419648184204101,3.470565349769592,24.1,49.27,2.5e-05
151,4.40130069694519,3.4712442598342896,24.35,49.76,2.4738205397093857e-05
152,4.412071858978272,3.4867021558761597,24.25,48.76,2.4476439502916083e-05
153,4.396642488098145,3.457735606575012,24.7,49.58,2.4214731023046793e-05
154,4.422446377944946,3.5018727117538453,23.73,48.52,2.395310865677001e-05
155,4.3911267814636235,3.5032052982330324,23.85,48.51,2.3691601093926404e-05
156,4.397710015487671,3.4397523149490357,24.99,49.87,2.3430237011767174e-05
157,4.429558852767944,3.4242841672897337,24.84,50.41,2.3169045071809215e-05
158,4.391049731826782,3.5188451092720032,23.72,48.35,2.2908053916692113e-05
159,4.382301817321777,3.4364581526756286,24.89,50.02,2.2647292167037144e-05
