epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.932516505037887,6.682586662139893,0.674,2.898,1e-05
1,6.826874881431736,6.431772192993164,1.142,4.478,1.8000000000000004e-05
2,6.730294142169752,6.1650219075393675,2.052,7.242,2.6000000000000002e-05
3,6.6440962953963085,5.926129669647217,3.096,10.02,3.4000000000000007e-05
4,6.552302005885542,5.674840941581726,4.442,13.606,4.2000000000000004e-05
5,6.4810475447009885,5.548177313175201,4.85,14.74,4.9692208514878444e-05
6,6.4034018551093945,5.365432619476318,6.744,19.386,4.9557181268217227e-05
7,6.318968132815916,5.154391235942841,8.236,22.094,4.939791904846869e-05
8,6.253923346613837,5.020874428682327,9.462,24.704,4.9214579028215776e-05
9,6.189780390661755,4.82375477971077,11.008,27.532,4.900734214192358e-05
10,6.135841005328653,4.710442656202316,12.422,29.502,4.877641290737884e-05
11,6.082245852159655,4.5925518708229065,13.662,32.098,4.852201922385564e-05
12,6.029549599587471,4.554342629227638,14.338,32.986,4.8244412147206284e-05
13,5.990996008512677,4.3413100660038,16.672,36.668,4.794386564209953e-05
14,5.9411773682832125,4.349055027315616,16.25,36.26,4.762067631165049e-05
15,5.907147445421348,4.218156725354195,18.404,39.43,4.72751631047092e-05
16,5.858863742216893,4.147777350420951,19.29,40.608,4.690766700109659e-05
17,5.82738683987474,4.194588741855621,18.726,39.598,4.65185506750986e-05
18,5.79779161524022,4.029651639752388,20.5,42.776,4.610819813755038e-05
19,5.756053142789481,3.931920000832081,21.642,44.192,4.567701435686404e-05
20,5.747084650321343,3.992395445833206,21.61,44.228,4.522542485937369e-05
21,5.697025499035274,3.96404296916008,22.346,45.248,4.475387530939226e-05
22,5.676018604959386,3.832209502865076,23.118,46.642,4.426283106939474e-05
23,5.654732752537382,3.7471688525652884,24.426,48.402,4.375277674076149e-05
24,5.622825567213551,3.8218045024585723,24.132,47.806,4.3224215685535294e-05
25,5.602380195568347,3.636881857714653,25.86,49.994,4.267766952966369e-05
26,5.5719564024178405,3.6982884364652633,25.28,49.336,4.211367764821722e-05
27,5.548543916828093,3.630467499270439,26.552,50.956,4.1532796633091296e-05
