epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
57,5.328727211105055,3.532243891029358,31.178,54.758,1.9546418965086442e-05
58,5.310171593522382,3.623537214951515,30.398,53.77,1.878275282087863e-05
59,5.282873925002201,3.5648039648103715,30.96,54.84,1.802522234901927e-05
60,5.2932212857053855,3.612208972854614,30.934,54.56,1.727457514062632e-05
61,5.277210353196471,3.5840254304075243,31.27,54.7,1.6531551993867717e-05
62,5.277120553333124,3.578952554655075,31.362,55.052,1.579688618288306e-05
63,5.248675853773571,3.571583220462799,31.328,55.376,1.5071302734130482e-05
64,5.253413962549355,3.453855709552765,32.082,55.976,1.4355517710873184e-05
65,5.250673286948188,3.540641701002121,31.706,55.688,1.3650237506511331e-05
66,5.233669432355785,3.4687134029960633,32.308,56.046,1.2956158147457115e-05
67,5.214071415442934,3.5360341170978544,32.002,55.814,1.2273964606240718e-05
68,5.200184853925281,3.5147534123325346,32.272,55.892,1.1604330125525079e-05
69,5.219052747420703,3.530672189016342,32.182,55.922,1.0947915553696734e-05
70,5.201753328586447,3.5152314786434173,32.436,56.102,1.0305368692688174e-05
71,5.200050060627521,3.474205913963318,32.686,56.3,9.677323658675586e-06
72,5.176942614303238,3.4005239698696137,33.25,57.056,9.064400256282757e-06
73,5.167405125708773,3.494444671049118,32.578,56.364,8.467203366908707e-06
74,5.1692928320940945,3.4796415566825867,32.692,56.502,7.886322351782783e-06
75,5.150357252981948,3.4431999667358397,32.946,56.822,7.3223304703363135e-06
76,5.142154933600828,3.4729268041419985,32.93,56.728,6.775784314464717e-06
77,5.129684921117618,3.4360879069805144,32.876,56.742,6.247223259238511e-06
78,5.135147252093549,3.4153885695552826,33.482,57.31,5.737168930605272e-06
79,5.123582358332886,3.5606205689811707,32.164,55.826,5.24612469060774e-06
80,5.112556534371097,3.5276501253700254,32.548,56.248,4.7745751406263165e-06
81,5.123421142305034,3.5415065935230254,32.628,56.114,4.322985643135957e-06
82,5.119658179666804,3.4618362497711184,33.136,56.926,3.891801862449629e-06
83,5.101381910437051,3.431237291946411,33.356,57.11,3.481449324901406e-06
84,5.101658840497573,3.4767679001045226,33.13,56.924,3.0923329989034107e-06
85,5.0958871616535575,3.47275468873024,33.048,56.822,2.7248368952908053e-06
86,5.095044008944405,3.4705285871887206,33.142,56.798,2.379323688349516e-06
87,5.082868118455325,3.4767251860141752,33.258,56.764,2.056134357900477e-06
88,5.081101966434452,3.4352469666862486,33.5,57.212,1.7555878527937164e-06
89,5.081415977643646,3.4856320448493956,32.916,56.678,1.4779807761443636e-06
90,5.0725373999885415,3.4214874319934845,33.502,57.252,1.2235870926211619e-06
91,5.058249624325954,3.4681155516242983,33.216,56.968,9.926578580764261e-07
92,5.05186739696496,3.5000007884311675,33.064,56.618,7.85420971784226e-07
93,5.056174270574121,3.516548215332031,32.786,56.584,6.020809515313169e-07
94,5.0502123627169375,3.494556827440262,33.076,56.708,4.42818731782782e-07
95,5.052578432210859,3.423281212081909,33.632,57.348,3.077914851215585e-07
96,5.04906612643595,3.465187052221298,33.302,56.95,1.9713246713805588e-07
97,5.048130405926216,3.4479586188793183,33.396,57.144,1.109508849230001e-07
98,5.032659603469911,3.5197897329711916,32.978,56.604,4.9331789293211026e-08
99,5.0330715366806285,3.483200400209427,33.128,56.72,1.233599085671e-08
