epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,6.833123806437861,5.853550034637451,2.888,10.072,0.001
1,6.3227182662335775,4.866071679840088,11.826,29.352,0.0009997557473810372
2,5.927185341508872,4.373908317718506,19.048,40.986,0.0009990232305719944
3,5.729979049100637,4.2574364295959475,22.674,45.732,0.0009978031724785245
4,5.613835100456365,3.993571315841675,27.096,51.83,0.0009960967771506667
5,5.536757056178812,3.508567829284668,30.632,56.338,0.0009939057285945933
6,5.5091992858788,3.64218152885437,29.93,54.86,0.000991232189110701
7,5.436890457831535,3.6636642150878904,30.488,56.224,0.00098807879715968
8,5.410037511497221,3.9840617949676513,31.986,57.442,0.0009844486647586723
9,5.370665176275168,3.7402711813354492,33.922,59.682,0.0009803453744100868
10,5.371080759343645,3.751867108154297,34.09,59.952,0.0009757729755661011
11,5.337678668203382,3.4337645122528078,34.498,60.676,0.0009707359806323416
12,5.335189669148193,3.7684703025054933,35.914,61.846,0.0009652393605146844
13,5.317242664204145,3.611358889312744,37.186,63.424,0.0009592885397135706
14,5.281439671233908,3.5282906144714357,36.716,63.29,0.0009528893909706797
15,5.260687163402799,4.0601965715026855,36.008,61.706,0.0009460482294732421
16,5.2469665810759105,3.6906102738952637,36.042,62.226,0.0009387718066217125
17,5.236521149827403,3.2423776272583007,38.352,64.548,0.0009310673033669522
18,5.212217110391263,4.0318926543807985,37.942,64.102,0.0009229423231234975
19,5.202771361718134,7.825767617645264,35.848,61.092,0.0009144048842659081
20,5.1878413121318445,3.205302954940796,37.746,64.456,0.000905463412215599
21,5.201908666790514,3.326986823425293,38.242,64.43,0.0008961267311259666
22,5.186020604832116,3.9603814442443848,37.938,63.638,0.0008864040551740157
23,5.185133370286947,4.130712163848877,39.226,65.034,0.0008763049794670775
24,5.1717704879450315,3.2705065725708007,39.404,65.53,0.0008658394705735987
25,5.151680908082594,4.54172704574585,38.264,63.91,0.000855017856687341
26,5.160520822187918,3.581828932876587,39.894,65.182,0.0008438508174347009
27,5.139626183392154,3.0909551229095458,40.65,66.71,0.0008323493733352077
28,5.123602127621541,2.8790807163238523,41.874,68.436,0.0008205248749256015
29,5.114065215034744,2.9781014344787597,40.64,66.866,0.0008083889915582234
30,5.111425912145587,3.168017850112915,40.014,66.35,0.0007959536998847743
