epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
4,5.903582756497165,4.620984946155548,15.478,35.138,0.0009995658008989348
5,5.861273265049309,4.422789965934753,16.934,37.314,0.000999321619703514
6,5.836309606384143,6.691520402832031,8.9,22.396,0.0009990232305719944
7,5.814066448070177,4.82287161857605,14.14,32.948,0.0009986706662261067
8,5.805508747612016,10.043285330352782,3.116,9.284,0.0009982639653285047
9,5.755664389275661,13.08732199672699,1.682,6.418,0.0009978031724785245
10,5.7618065092849235,10.673102421302795,3.02,9.556,0.0009972883382072953
11,5.7519229395142535,33.82751901885986,0.23,1.862,0.0009967195189721962
12,5.727416556756186,22.982793332901,0.92,3.058,0.0009960967771506667
13,5.728651240317658,27.845433743629457,0.612,1.91,0.0009954201810333646
14,5.71544713937792,25.048642205581665,0.93,3.098,0.0009946898048166792
15,5.716055445516726,75.37849920089722,0.272,0.794,0.0009939057285945933
16,5.7159863747920605,36.98789766731262,0.528,2.006,0.0009930680383499
17,5.71302699441259,42.38744375106811,0.242,0.944,0.0009921768259447746
18,5.699628273010825,49.538500541534425,0.448,1.44,0.000991232189110701
19,5.70833521170244,43.13244958656311,0.156,0.84,0.0009902342314377524
20,5.694732804096642,65.64341435264588,0.188,0.798,0.0009891830623632338
21,5.69147407105186,133.99031191144942,0.198,0.718,0.00098807879715968
22,5.690589371422143,74.25831717910766,0.196,1.076,0.0009869215569222143
23,5.686563043663916,87.53159763519287,0.196,0.704,0.00098571146855527
24,5.674428906893561,92.9458177583313,0.124,0.56,0.0009844486647586723
25,5.69617020923044,127.52670107849121,0.11,0.586,0.0009831332840130886
26,5.673699759230508,96.38568438842773,0.208,0.754,0.0009817654705648407
27,5.685382282290857,182.19509497802736,0.174,0.602,0.0009803453744100868
28,5.6869445465604125,154.76902987823487,0.088,0.558,0.0009788731512783732
29,5.681481538851286,130.2240954284668,0.124,0.494,0.000977348962615557
30,5.689934489639837,47.92229737609863,0.126,0.696,0.0009757729755661011
31,5.703722461690339,34.08294666152954,0.228,1.122,0.000974145362954745
32,5.675972091924157,50.40323743011474,0.136,0.748,0.0009724663032675533
33,5.665244468705067,91.67152525177002,0.136,0.904,0.0009707359806323416
34,5.673245774870665,79.27014486679077,0.158,0.684,0.0009689545847984864
35,5.6644117820333175,84.51523931701661,0.168,0.616,0.0009671223111161148
