epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
7,5.601351154816474,3.386711629333496,32.96,57.84,4.9932861930611454e-05
8,5.505253490367628,3.273256205368042,35.906,61.152,4.991232148123761e-05
9,5.425931349954997,3.149487385902405,37.794,62.598,4.9889049115077005e-05
10,5.366505423278429,3.0808985703277587,39.536,64.652,4.9863047384206835e-05
11,5.307049420999712,2.9516210037231447,41.442,66.446,4.983431914000991e-05
12,5.247550027027915,2.950628279571533,42.086,67.234,4.980286753286195e-05
13,5.195911552531103,2.900315822906494,43.376,68.404,4.976869601178609e-05
14,5.1738543820697975,2.6682182922935485,45.914,70.708,4.9731808324074717e-05
15,5.13277657342393,2.7786789374160765,45.494,70.54,4.9692208514878444e-05
16,5.10348665037764,2.7748385030174254,46.518,71.138,4.964990092676263e-05
17,5.072142469601884,2.6617931782722475,48.45,72.474,4.960489019923105e-05
18,5.045811605484458,2.5916260398483275,49.044,73.092,4.9557181268217227e-05
19,5.022572353415251,2.5161538356018065,49.852,74.034,4.9506779365543046e-05
20,4.997971772706905,2.558175682926178,50.008,74.306,4.9453690018345144e-05
21,4.972484513040856,2.413836520328522,51.508,75.312,4.939791904846869e-05
22,4.954568271400426,2.4614815120697022,51.442,75.42,4.933947257182901e-05
23,4.9420453079848015,2.364109248371124,52.126,75.828,4.9278356997740904e-05
24,4.91945382648682,2.3071325458717347,52.758,76.574,4.9214579028215776e-05
25,4.9000073592971765,2.471296735153198,52.254,76.178,4.914814565722671e-05
26,4.887317077479218,2.3782686583328245,53.042,76.92,4.907906416994146e-05
27,4.868612747423917,2.31597841173172,53.786,77.402,4.900734214192358e-05
28,4.848659184413996,2.3052348291778566,54.02,77.654,4.893298743830168e-05
29,4.844397405308912,2.3178019397735596,53.804,77.496,4.8856008212906925e-05
30,4.829795376078234,2.3593561357307435,54.17,77.634,4.877641290737884e-05
31,4.816771012798915,2.2120424415016173,55.224,78.612,4.869421025023965e-05
