epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.248180126190186,4.834336611175537,4.62,16.35,1e-05
1,5.155172092590332,4.580716209411621,7.02,21.98,1.8000000000000004e-05
2,5.074588000488281,4.388399673461914,9.31,27.15,2.6000000000000002e-05
3,5.00477299987793,4.212833087921142,11.5,30.77,3.4000000000000007e-05
4,4.943031327667236,3.9885634342193605,15.64,37.72,4.2000000000000004e-05
5,4.884599190063477,3.8339796031951905,16.67,40.17,4.996573836886435e-05
6,4.821240915679931,3.761312833023071,19.43,43.37,4.995066821070679e-05
7,4.766051622543335,3.5396510437011717,21.34,47.4,4.9932861930611454e-05
8,4.721884646606445,3.420328564453125,23.71,49.23,4.991232148123761e-05
9,4.6844607556915285,3.3696413097381592,25.59,51.81,4.9889049115077005e-05
10,4.645495733032226,3.2285330898284914,27.89,54.71,4.9863047384206835e-05
11,4.6137748400115965,3.162634313392639,28.06,55.83,4.983431914000991e-05
12,4.581099964065552,3.089643737030029,29.63,57.94,4.980286753286195e-05
13,4.556042020187378,3.0676092315673826,31.19,58.82,4.976869601178609e-05
14,4.522452474594116,2.9802729177474974,32.43,60.77,4.9731808324074717e-05
15,4.502470915374756,2.9337263222694396,33.94,60.28,4.9692208514878444e-05
16,4.482904986190796,2.8674661586761476,33.94,61.44,4.964990092676263e-05
17,4.453692828521729,2.7520095750808715,35.72,64.03,4.960489019923105e-05
18,4.438805039367676,2.7379333212852477,36.52,64.72,4.9557181268217227e-05
19,4.421649895706177,2.713533738899231,36.83,64.85,4.9506779365543046e-05
20,4.399831348648071,2.7148302734375,37.38,65.95,4.9453690018345144e-05
21,4.3906810050201415,2.6316937273025514,38.76,66.99,4.939791904846869e-05
22,4.37449544631958,2.625085615348816,39.26,67.24,4.933947257182901e-05
23,4.347248695678711,2.6981467681884768,38.51,66.26,4.9278356997740904e-05
24,4.331156230010986,2.539014846801758,40.5,68.23,4.9214579028215776e-05
25,4.325717857818604,2.521278368186951,41.25,68.87,4.914814565722671e-05
26,4.311510227432251,2.509397695159912,40.86,69.25,4.907906416994146e-05
27,4.295441569824218,2.457841594696045,42.3,70.15,4.900734214192358e-05
28,4.274049989242553,2.441099459552765,43.29,70.38,4.893298743830168e-05
29,4.263413422927856,2.424146341896057,44.1,71.25,4.8856008212906925e-05
30,4.246370945510864,2.3858416677474974,43.63,71.14,4.877641290737884e-05
31,4.225941541366577,2.346224828910828,44.7,72.32,4.869421025023965e-05
32,4.219519772415161,2.362073665046692,45.02,71.74,4.860940925593703e-05
33,4.2055247734069825,2.317875162887573,45.78,73.17,4.852201922385564e-05
34,4.1939009167480465,2.357287560272217,45.0,71.98,4.843204973729729e-05
35,4.186703255233764,2.3560089225769043,45.63,72.74,4.8339510662430046e-05
36,4.18755326423645,2.292856457519531,47.1,73.99,4.8244412147206284e-05
37,4.170758896331787,2.240621925163269,47.14,74.25,4.814676462024988e-05
38,4.157065847015381,2.277030948638916,47.46,74.09,4.8046578789712515e-05
39,4.147085285797119,2.1866402378082275,48.49,74.89,4.794386564209953e-05
40,4.13999059928894,2.2658193532943725,47.89,74.22,4.783863644106502e-05
41,4.1314322115325925,2.208695360660553,48.47,74.68,4.773090272617672e-05
42,4.134660731124878,2.233700622558594,47.69,74.75,4.762067631165049e-05
43,4.108365623397827,2.140384799194336,50.62,76.34,4.7507969285054845e-05
44,4.094931688995361,2.1593753712654116,49.45,75.84,4.7392794005985326e-05
45,4.087694194793701,2.155140898513794,50.59,75.89,4.72751631047092e-05
46,4.0874762765502926,2.12953740272522,50.07,75.67,4.715508948078037e-05
47,4.072567856140137,2.1404574127197264,50.49,76.01,4.70325863016248e-05
48,4.047329134140015,2.1147076820373534,50.62,76.35,4.690766700109659e-05
49,4.050571049804687,2.061738761138916,51.4,76.53,4.678034527800474e-05
50,4.052215879669189,2.064326519012451,51.66,77.09,4.6650635094610964e-05
51,4.05303619972229,2.0316635898590087,52.55,77.58,4.65185506750986e-05
52,4.022646554794312,2.0931784664154054,51.51,77.34,4.638410650401267e-05
53,4.026936194458008,2.0368200931549074,52.26,77.67,4.6247317324671605e-05
54,4.0212875832366946,2.0846182165145875,51.5,77.21,4.610819813755038e-05
55,4.020926049041748,2.0172951009750366,52.38,77.65,4.5966764198635606e-05
56,3.9877661803436277,2.051574468898773,52.28,77.61,4.5823031017752485e-05
