epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.269445664367676,5.123161124420166,1.75,7.22,1e-05
1,45.14623460723877,29.166865322875978,0.56,2.57,0.00034
2,1711345.1248017633,1681035.892325,0.39,2.37,0.00067
3,265860433.57217813,4275772104.634987,0.49,2.49,0.0009997557473810372
4,5401145592.474871,107829363135.58147,0.5,2.48,0.0009995658008989348
5,113977968982.15816,2676640710125.732,0.51,2.52,0.000999321619703514
6,2136263635879.8826,145402045025.15,0.49,2.52,0.0009990232305719944
7,13394612549037.389,4835523215374.221,0.5,2.49,0.0009986706662261067
8,8928872976756.596,10032031764525.424,0.5,2.5,0.0009982639653285047
9,15594243221998.547,6892638752232.524,0.5,2.51,0.0009978031724785245
10,nan,nan,0.5,2.5,0.0009972883382072953
11,nan,nan,0.5,2.5,0.0009967195189721962
12,nan,nan,0.5,2.5,0.0009960967771506667
13,nan,nan,0.5,2.5,0.0009954201810333646
14,nan,nan,0.5,2.5,0.0009946898048166792
15,nan,nan,0.5,2.5,0.0009939057285945933
16,nan,nan,0.5,2.5,0.0009930680383499
17,nan,nan,0.5,2.5,0.0009921768259447746
18,nan,nan,0.5,2.5,0.000991232189110701
19,nan,nan,0.5,2.5,0.0009902342314377524
20,nan,nan,0.5,2.5,0.0009891830623632338
21,nan,nan,0.5,2.5,0.00098807879715968
22,nan,nan,0.5,2.5,0.0009869215569222143
23,nan,nan,0.5,2.5,0.00098571146855527
24,nan,nan,0.5,2.5,0.0009844486647586723
25,nan,nan,0.5,2.5,0.0009831332840130886
