epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.275445487823486,5.143084046173096,1.58,6.74,1e-05
1,5.230215386047363,5.016746785736084,2.82,10.2,1.8000000000000004e-05
2,5.191753747406006,4.88478925857544,3.44,12.84,2.6000000000000002e-05
3,5.146509650421143,4.722168001556397,5.06,18.23,3.4000000000000007e-05
4,5.097428233795166,4.584967664337158,7.08,22.43,4.2000000000000004e-05
5,5.057701610565186,4.427945218658447,8.94,26.37,4.996573836886435e-05
6,5.001382640686035,4.27771724395752,11.44,30.99,4.995066821070679e-05
7,4.953548408355713,4.081998506927491,13.89,36.21,4.9932861930611454e-05
8,4.902339608459473,3.9544446613311766,16.03,39.88,4.991232148123761e-05
9,4.860920665283203,3.8820290557861328,16.91,40.91,4.9889049115077005e-05
10,4.82916879272461,3.775419314956665,18.6,43.84,4.9863047384206835e-05
11,4.8058311799621585,3.7020234897613524,20.39,46.11,4.983431914000991e-05
12,4.781896700134277,3.690138525390625,21.18,46.44,4.980286753286195e-05
13,4.750429775924682,3.5206004447937014,23.07,49.6,4.976869601178609e-05
14,4.713355545425415,3.4494013217926027,24.28,51.02,4.9731808324074717e-05
15,4.696092202148438,3.39539970703125,26.16,52.88,4.9692208514878444e-05
16,4.677918886871338,3.4235530269622805,26.51,53.18,4.964990092676263e-05
17,4.65092784034729,3.3895093814849853,26.87,53.88,4.960489019923105e-05
18,4.6440150881958004,3.192675315093994,29.01,56.54,4.9557181268217227e-05
19,4.612973391036987,3.179840967941284,30.13,57.82,4.9506779365543046e-05
20,4.591934149856567,3.0987239463806153,31.04,58.28,4.9453690018345144e-05
21,4.583121663894653,3.1916310638427734,30.52,57.88,4.939791904846869e-05
22,4.55976706489563,3.125773980140686,31.55,59.98,4.933947257182901e-05
23,4.547264929428101,2.989149869918823,33.04,61.63,4.9278356997740904e-05
24,4.529140886383057,2.9844939559936523,33.77,61.9,4.9214579028215776e-05
25,4.524914954299927,2.986620855331421,34.46,62.6,4.914814565722671e-05
26,4.522604214706421,2.9564255977630616,33.92,62.43,4.907906416994146e-05
27,4.494663038864136,3.0123476135253906,34.91,63.34,4.900734214192358e-05
28,4.479914752807617,2.9059274166107176,36.04,64.01,4.893298743830168e-05
29,4.476045709152221,2.9088303409576417,36.08,63.82,4.8856008212906925e-05
30,4.4548637619781495,2.834330225753784,37.36,64.9,4.877641290737884e-05
