epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.211383553009033,4.850455146026611,5.33,17.82,1e-05
1,5.224602041778565,4.690014530944824,5.58,18.41,0.00034
2,5.117386693878174,4.663037197875976,5.55,18.46,0.00067
3,5.097086840667725,4.482174834442139,8.33,25.65,0.0009997557473810372
4,5.01171099822998,4.323577280426026,10.16,28.61,0.0009995658008989348
5,4.956203509216309,4.251024114608764,10.06,30.27,0.000999321619703514
6,4.920141571502685,4.222550960922241,11.54,32.33,0.0009990232305719944
7,4.8749532626342775,4.040824263000489,13.98,35.64,0.0009986706662261067
8,4.843898573150635,3.9372376029968263,15.15,38.85,0.0009982639653285047
9,4.821138922729492,3.857044176864624,16.85,43.2,0.0009978031724785245
10,4.776072879104614,3.86891816444397,16.07,39.79,0.0009972883382072953
11,4.760948043060303,3.7554525091171262,18.96,44.5,0.0009967195189721962
12,4.735198920516968,3.808395253753662,19.07,43.29,0.0009960967771506667
13,4.7178772319793705,3.574778182601929,21.84,48.03,0.0009954201810333646
14,4.707538769683838,3.6195274982452394,22.52,47.79,0.0009946898048166792
15,4.684426964111328,3.6061996183395384,20.44,46.28,0.0009939057285945933
16,4.655124820480347,3.373576566696167,23.97,51.09,0.0009930680383499
17,4.635877194900512,3.4057179370880126,26.4,53.09,0.0009921768259447746
18,4.621806054000855,3.479624871635437,24.83,51.57,0.000991232189110701
19,4.6167559937286375,3.3076750473022463,27.4,55.15,0.0009902342314377524
20,4.632938956375122,3.5201765686035156,25.82,52.8,0.0009891830623632338
21,4.616341863021851,3.4415754724502565,27.37,54.03,0.00098807879715968
22,4.594274503936767,3.512899157333374,27.94,54.93,0.0009869215569222143
23,4.579655303726196,3.3129007202148437,27.95,54.64,0.00098571146855527
24,4.569607182464599,3.1499742259979246,31.16,59.2,0.0009844486647586723
25,4.529273573455811,3.7279525619506835,26.12,52.61,0.0009831332840130886
26,4.568568489379883,3.282221287536621,28.88,57.03,0.0009817654705648407
27,4.5781931784820555,3.1367885461807252,31.15,59.44,0.0009803453744100868
28,4.550849540786743,3.008842335510254,32.31,60.85,0.0009788731512783732
29,4.540274712295532,3.188630078315735,30.54,58.26,0.000977348962615557
30,4.542409788513184,3.4576758922576905,32.12,59.01,0.0009757729755661011
31,4.504904370193482,3.0688108242034913,33.14,61.22,0.000974145362954745
32,4.511434545593262,3.2322309383392334,32.43,59.87,0.0009724663032675533
33,4.514628679504394,3.230948440551758,32.17,59.77,0.0009707359806323416
34,4.507436529617309,3.165094491958618,33.53,60.82,0.0009689545847984864
35,4.477487320785523,3.1625290519714357,32.21,59.3,0.0009671223111161148
36,4.473885499877929,2.94231654586792,33.06,62.24,0.0009652393605146844
37,4.473595878295899,2.930329871559143,34.65,62.58,0.0009633059394809475
38,4.480627946090698,3.2750758758544922,35.66,62.55,0.0009613222600363078
39,4.486013092956543,3.020607097244263,35.66,63.42,0.0009592885397135706
40,4.48320701713562,3.157196918106079,34.08,60.43,0.0009572050015330874
