epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
30,4.346371073150634,2.7818976100921633,37.1,64.83,4.877641290737884e-05
31,4.320337842407227,2.8036827880859376,37.21,64.99,4.869421025023965e-05
32,4.296164811477661,2.817079659843445,36.86,64.2,4.860940925593703e-05
33,4.2872357239532475,2.7899566318511964,37.58,64.91,4.852201922385564e-05
34,4.270908567962646,2.794657265472412,38.09,64.84,4.843204973729729e-05
35,4.2603312844085695,2.7696417839050294,37.9,65.69,4.8339510662430046e-05
36,4.424629742736816,2.7513409133911133,38.94,65.86,4.8244412147206284e-05
37,4.401944258422851,2.7633418128967286,39.0,65.86,4.814676462024988e-05
38,4.382071974639892,2.741090110397339,39.79,66.36,4.8046578789712515e-05
39,4.35375532333374,2.686441110610962,41.26,67.69,4.794386564209953e-05
40,4.363762748031617,2.6227490383148195,41.26,68.57,4.783863644106502e-05
41,4.34556269065857,2.693810141944885,41.13,68.28,4.773090272617672e-05
42,4.331172416305542,2.6186057111740113,42.14,69.12,4.762067631165049e-05
43,4.322515684127808,2.5440195178985596,43.03,69.97,4.7507969285054845e-05
44,4.3209886934661865,2.542811814880371,43.28,70.46,4.7392794005985326e-05
45,4.302443062362671,2.5459255060195924,43.53,70.48,4.72751631047092e-05
46,4.299773228149414,2.551770439338684,43.67,70.86,4.715508948078037e-05
47,4.295629223709106,2.52592938079834,43.89,71.12,4.70325863016248e-05
48,4.285438579330444,2.5864519176483154,44.26,70.74,4.690766700109659e-05
49,4.282505052490234,2.5040238346099852,45.14,70.98,4.678034527800474e-05
50,4.263584141387939,2.4202225969314575,46.04,72.26,4.6650635094610964e-05
51,4.272954970703125,2.503179175567627,45.44,72.01,4.65185506750986e-05
52,4.252665676879883,2.4875346422195435,45.81,71.73,4.638410650401267e-05
53,4.247127285995483,2.395508395576477,46.71,72.98,4.6247317324671605e-05
54,4.240007939605713,2.437904142189026,46.65,72.73,4.610819813755038e-05
55,4.2378212740325925,2.413627637672424,47.05,72.49,4.5966764198635606e-05
56,4.23391220954895,2.4807158279418946,46.68,73.02,4.5823031017752485e-05
57,4.21671615989685,2.3796483417510985,47.11,72.69,4.567701435686404e-05
58,4.211770668106079,2.4045819854736328,47.91,73.45,4.5528730228342605e-05
59,4.197312309951783,2.3762042276382447,47.82,73.52,4.537819489321386e-05
60,4.200275415267944,2.420918031692505,47.9,73.74,4.522542485937369e-05
61,4.18441871055603,2.460169136047363,47.49,73.29,4.5070436879777865e-05
62,4.1831583493041995,2.3099076427459715,48.58,74.17,4.491324795060491e-05
63,4.171118178634644,2.3337269372940064,48.5,73.87,4.475387530939226e-05
64,4.161131959915161,2.36561797580719,48.68,74.42,4.4592336433146e-05
65,4.152832461471558,2.377626960372925,48.15,73.9,4.442864903642428e-05
66,4.156407068252563,2.3458464921951294,48.33,73.98,4.426283106939474e-05
67,4.152450589828491,2.2988610164642336,49.12,75.07,4.4094900715866064e-05
68,4.143073636932373,2.274597484779358,49.91,75.11,4.3924876391293915e-05
69,4.1338923058319095,2.281287865638733,50.41,75.34,4.375277674076149e-05
70,4.137996255264282,2.213625159072876,50.71,75.24,4.3578620636934866e-05
71,4.114713957366943,2.2775905611038207,50.14,75.02,4.340242717799336e-05
72,4.111111870346069,2.3195910400390627,50.1,75.11,4.3224215685535294e-05
73,4.107216782836914,2.307022671890259,50.01,75.03,4.304400570245906e-05
74,4.097453352508545,2.179095267677307,51.34,76.23,4.2861816990820084e-05
75,4.085616274261475,2.2948067625045776,50.83,75.21,4.267766952966369e-05
76,4.088639414138794,2.3270888471603395,49.89,75.07,4.2491583512834145e-05
77,4.083715607147217,2.2181423629760744,51.29,76.17,4.230357934676017e-05
78,4.081127160263062,2.2289747259140014,51.92,76.35,4.211367764821722e-05
79,4.075698648910523,2.2697448163986205,50.81,76.07,4.192189924206652e-05
80,4.072248455886841,2.157925766181946,52.16,76.57,4.172826515897146e-05
81,4.073226365661621,2.2346701278686525,51.67,76.34,4.1532796633091296e-05
82,4.060111652908325,2.2093762544631956,51.96,76.56,4.133551509975264e-05
83,4.067013935699463,2.2092555025100706,52.26,76.65,4.113644219309877e-05
84,4.061912052230835,2.170882390022278,52.92,76.88,4.093559974371725e-05
85,4.054116242523193,2.226943190383911,52.12,76.55,4.073300977624594e-05
86,4.046068706359863,2.2023835029602052,52.32,76.66,4.0528694506957764e-05
87,4.028221359100342,2.1441800468444825,53.48,77.5,4.0322676341324415e-05
88,4.020789280090332,2.2333036376953124,52.4,76.6,4.011497787155938e-05
89,4.030233022384643,2.2027339153289796,52.36,76.85,3.99056218741404e-05
90,4.0269998586273195,2.197714807891846,53.22,77.42,3.969463130731183e-05
91,4.015413352203369,2.0895222724914553,53.9,77.79,3.948202930856697e-05
92,3.9974234748077393,2.0928568628311157,53.67,78.0,3.92678391921108e-05
93,4.002915434036255,2.232201405143738,52.61,76.91,3.9052084446303274e-05
94,4.002587521362305,2.1029045778274535,53.6,77.66,3.883478873108361e-05
95,3.999540319519043,2.177356459236145,53.07,77.18,3.8615975875375675e-05
96,3.9832114211273195,2.070716139984131,54.22,78.23,3.8395669874474915e-05
97,3.9894887435150146,2.1057370967864992,54.49,78.15,3.8173894887416945e-05
98,3.9899542379760744,2.141210679244995,54.25,77.81,3.795067523432826e-05
99,3.966938102493286,2.195589620399475,53.47,77.93,3.7726035393759285e-05
100,3.976465002975464,2.1045632368087768,54.97,77.81,3.7500000000000003e-05
101,3.9880401682281494,2.1238689336776733,54.68,78.06,3.727259384037852e-05
102,3.9622394418334963,2.127813101387024,54.24,78.16,3.704384185254288e-05
103,3.97442915725708,2.1039247940063475,54.62,78.26,3.681376912172636e-05
104,3.9690105365753174,2.131167639541626,55.1,78.47,3.6582400877996546e-05
105,3.9247276918029783,2.1011136280059812,54.55,78.41,3.634976249348867e-05
