epoch,train_loss,eval_loss,eval_top1,eval_top5,lr
0,5.297828539276123,5.290683289337158,0.8,4.01,1e-05
1,5.294246851348877,5.269249558258057,0.83,4.15,1.8000000000000004e-05
2,5.286561441040039,5.234521168518066,0.92,4.11,2.6000000000000002e-05
3,5.282044861602783,5.230777492523194,1.05,5.09,3.4000000000000007e-05
4,5.2753060348510745,5.162811325073243,1.61,7.21,4.2000000000000004e-05
5,5.2589148414611815,5.120237665557862,1.66,7.87,4.996573836886435e-05
6,5.241614404296875,5.062837246704102,2.02,9.56,4.995066821070679e-05
7,5.225231484985351,5.037787866210937,2.65,10.56,4.9932861930611454e-05
8,5.2224053962707515,5.017591898727417,2.81,11.04,4.991232148123761e-05
9,5.206841830444336,4.953960194396973,3.23,12.6,4.9889049115077005e-05
10,5.1911380630493165,4.938740671539307,3.13,13.19,4.9863047384206835e-05
11,5.176703670501709,4.9138113887786865,4.18,14.46,4.983431914000991e-05
12,5.15731879272461,4.8544735347747805,4.72,16.37,4.980286753286195e-05
13,5.162991651153565,4.806441048049927,4.72,17.51,4.976869601178609e-05
14,5.142721814727783,4.745610709762573,5.21,18.59,4.9731808324074717e-05
15,5.125536466217041,4.713023485565185,5.64,18.93,4.9692208514878444e-05
16,5.113079160308838,4.709263382720947,5.28,19.07,4.964990092676263e-05
17,5.103265274810791,4.6850565250396725,5.69,19.84,4.960489019923105e-05
18,5.094771186065674,4.623114421844482,6.37,20.71,4.9557181268217227e-05
19,5.0918650009155275,4.621558812713623,6.28,21.53,4.9506779365543046e-05
20,5.076612689208984,4.575710667800903,7.51,23.55,4.9453690018345144e-05
21,5.079774336242676,4.569000706100464,7.35,22.36,4.939791904846869e-05
22,5.067525881195069,4.572536022186279,8.08,23.26,4.933947257182901e-05
23,5.062162966156006,4.502094390487671,8.83,25.37,4.9278356997740904e-05
24,5.042566495513916,4.563551454925537,7.51,22.5,4.9214579028215776e-05
25,5.048104817962646,4.517325652313232,8.5,25.02,4.914814565722671e-05
26,5.0414046287536625,4.484193706893921,9.23,25.63,4.907906416994146e-05
27,5.032082733154297,4.458278750991822,9.22,26.11,4.900734214192358e-05
28,5.020194079589844,4.415003135299683,9.62,27.43,4.893298743830168e-05
29,5.010065866851806,4.377695290184021,10.3,28.2,4.8856008212906925e-05
30,5.006875801086426,4.376183229064941,10.18,28.0,4.877641290737884e-05
31,5.004237345123291,4.3701085838317875,9.95,28.05,4.869421025023965e-05
32,4.994291396331787,4.355937920379638,9.95,28.14,4.860940925593703e-05
33,4.992885787200928,4.381339324569702,9.63,27.43,4.852201922385564e-05
34,4.966308135986328,4.31645912437439,11.02,29.87,4.843204973729729e-05
35,4.976690750122071,4.3265599983215335,10.65,29.42,4.8339510662430046e-05
36,4.957710240936279,4.316692434501648,10.82,29.26,4.8244412147206284e-05
37,4.9415596572875975,4.275162355804444,11.57,31.09,4.814676462024988e-05
38,4.943363273620606,4.286687523651123,10.68,29.05,4.8046578789712515e-05
39,4.936127758026123,4.21881483039856,12.27,31.86,4.794386564209953e-05
40,4.928331636810303,4.195432201385498,12.06,32.22,4.783863644106502e-05
41,4.924262549591065,4.251727490615845,12.04,31.57,4.773090272617672e-05
42,4.924217043304443,4.204507150840759,12.25,32.42,4.762067631165049e-05
43,4.92443071975708,4.220472324562072,11.66,31.13,4.7507969285054845e-05
44,4.91402014541626,4.156736806869507,12.74,32.79,4.7392794005985326e-05
45,4.903811028289795,4.171820849609375,13.26,33.53,4.72751631047092e-05
46,4.895794289398193,4.162603591156006,12.5,33.35,4.715508948078037e-05
47,4.9031129074096675,4.21961815032959,12.89,32.6,4.70325863016248e-05
48,4.898398826980591,4.126846081542968,13.62,34.49,4.690766700109659e-05
49,4.8913363891601565,4.095650556755066,13.73,35.0,4.678034527800474e-05
50,4.870801518249512,4.137233358383178,14.11,34.81,4.6650635094610964e-05
51,4.861440367889404,4.06959048500061,13.92,35.41,4.65185506750986e-05
52,4.855063244247437,4.10898957824707,13.7,35.2,4.638410650401267e-05
53,4.874525779724121,4.059234932899475,14.36,35.84,4.6247317324671605e-05
54,4.838920196533203,4.0221275033950805,15.63,37.8,4.610819813755038e-05
55,4.848361219787598,4.027279621124268,14.73,36.64,4.5966764198635606e-05
56,4.84565796585083,4.027770325279236,15.31,37.21,4.5823031017752485e-05
57,4.81729979095459,3.987105717086792,15.75,37.57,4.567701435686404e-05
58,4.8318410575866695,3.9819912923812866,16.31,38.16,4.5528730228342605e-05
